Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VENKEYS,EQ,16-Oct-18,2576.45,2618,2727,2590,2596,2608.75,2659.51,288724,767863406,28639,53450,18.51
VENKEYS,EQ,17-Oct-18,2608.75,2672,2681.45,2450.1,2470,2475.25,2572.65,135505,348607043.3,15386,29188,21.54
VENKEYS,EQ,19-Oct-18,2475.25,2451,2539.95,2388.55,2448,2431.35,2453.83,80907,198532294.1,12232,16218,20.05
VENKEYS,EQ,22-Oct-18,2431.35,2465,2495,2355.8,2435,2404.05,2435.23,70889,172631353.1,10300,18893,26.65
VENKEYS,EQ,23-Oct-18,2404.05,2370,2461.9,2362,2440,2408.1,2408.05,58358,140528992.1,9235,13794,23.64
VENKEYS,EQ,24-Oct-18,2408.1,2459,2479,2366,2381,2388.8,2412.45,56694,136771604.7,7820,12294,21.68
VENKEYS,EQ,25-Oct-18,2388.8,2358.8,2374,2311,2330,2322.65,2339.17,35601,83276958.55,4889,10638,29.88
VENKEYS,EQ,26-Oct-18,2322.65,2338,2425,2280,2325.65,2325.6,2348.13,66620,156432653.6,9575,11043,16.58
VENKEYS,EQ,29-Oct-18,2325.6,2357.9,2455,2357.9,2436.5,2438.2,2404.53,94291,226725538.1,11999,22675,24.05
VENKEYS,EQ,30-Oct-18,2438.2,2444,2566,2425.95,2485,2485.7,2498.74,116674,291537887.5,13026,26329,22.57
VENKEYS,EQ,31-Oct-18,2485.7,2504.95,2529.95,2428.15,2490,2493.45,2484.61,69942,173778428.9,7720,14777,21.13
VENKEYS,EQ,1-Nov-18,2493.45,2471,2589.95,2471,2510,2517.1,2532.05,92772,234903104.2,11736,17355,18.71
VENKEYS,EQ,2-Nov-18,2517.1,2539,2876.8,2526,2859,2822.9,2732.46,444985,1215901842,44349,70113,15.76
VENKEYS,EQ,5-Nov-18,2822.9,2870,2954.95,2361,2410,2432.1,2626.77,847309,2225689115,91139,166072,19.6
VENKEYS,EQ,6-Nov-18,2432.1,2400,2479.8,2350,2400.25,2401.6,2414.87,222731,537865367.3,24654,33032,14.83
VENKEYS,EQ,7-Nov-18,2401.6,2405,2434.95,2395,2411.1,2417.6,2418.68,33551,81149125.5,4243,8405,25.05
VENKEYS,EQ,9-Nov-18,2417.6,2411.1,2430,2366.1,2378,2378.7,2392.08,68480,163809866.8,8405,23254,33.96
VENKEYS,EQ,12-Nov-18,2378.7,2375,2417.85,2362.15,2378.05,2375.15,2388.94,57526,137425945.5,7419,15447,26.85
VENKEYS,EQ,13-Nov-18,2375.15,2368.45,2389.95,2311,2330,2333.35,2342.18,65443,153279168.1,10035,21446,32.77
VENKEYS,EQ,14-Nov-18,2333.35,2352,2352,2301,2303,2309.1,2322.99,45406,105477623.4,7381,14366,31.64
VENKEYS,EQ,15-Nov-18,2309.1,2309,2321.7,2252,2260,2260.35,2270.21,55844,126777621.9,7453,19744,35.36
VENKEYS,EQ,16-Nov-18,2260.35,2365,2524,2362,2427.55,2434.8,2459.01,330766,813357322.9,35001,61043,18.46
VENKEYS,EQ,19-Nov-18,2434.8,2421.15,2483.85,2334,2414.95,2413.4,2418.78,168927,408596943.7,21229,24411,14.45
VENKEYS,EQ,20-Nov-18,2413.4,2400,2447,2368,2386,2391.35,2408,92892,223683935.6,12703,17241,18.56
VENKEYS,EQ,21-Nov-18,2391.35,2386,2433.6,2386,2396,2396.65,2407.56,61024,146919245.8,7549,12056,19.76
VENKEYS,EQ,22-Nov-18,2396.65,2398,2424,2367.85,2376,2377.25,2396.99,48387,115983118,6065,12638,26.12
VENKEYS,EQ,26-Nov-18,2377.25,2442,2469,2391,2399,2402.2,2432.09,96054,233611559.1,10612,24632,25.64
VENKEYS,EQ,27-Nov-18,2402.2,2400,2414,2376.5,2387.7,2382.4,2389.99,43409,103747135.1,5399,13953,32.14
VENKEYS,EQ,28-Nov-18,2382.4,2390,2400.35,2320,2330.8,2332.05,2363.82,43967,103930213.6,5836,13699,31.16
VENKEYS,EQ,29-Nov-18,2332.05,2344.75,2391.9,2330.2,2359,2351.6,2358.26,40375,95214911.05,5248,10712,26.53
VENKEYS,EQ,30-Nov-18,2351.6,2367,2392,2335,2335,2348.55,2367.16,51433,121750386.3,7053,16003,31.11
VENKEYS,EQ,3-Dec-18,2348.55,2340,2394.95,2340,2347.5,2349.2,2359.79,47224,111438557.7,5601,13138,27.82
VENKEYS,EQ,4-Dec-18,2349.2,2358.8,2370,2331,2332.95,2334.6,2349.61,37630,88415952.75,4012,7447,19.79
VENKEYS,EQ,5-Dec-18,2334.6,2327.8,2343,2291.3,2313.1,2314.3,2323.34,43427,100895698.4,5273,11137,25.65
VENKEYS,EQ,6-Dec-18,2314.3,2325.05,2364.95,2306.3,2309.7,2316.6,2334.41,69353,161898332.2,7248,17713,25.54
VENKEYS,EQ,7-Dec-18,2316.6,2331,2345,2278.25,2278.25,2291.15,2308.19,36873,85110007.9,4876,10730,29.1
VENKEYS,EQ,10-Dec-18,2291.15,2250,2250,2190,2192.9,2193.15,2206.33,43592,96178554.45,5164,16562,37.99
VENKEYS,EQ,11-Dec-18,2193.15,2165,2284,2125.25,2265.1,2261.2,2214.44,93239,206472424.2,9700,22474,24.1
VENKEYS,EQ,12-Dec-18,2261.2,2287.9,2353.6,2262.2,2322,2321.35,2313.44,65094,150590828.7,8227,15104,23.2
VENKEYS,EQ,13-Dec-18,2321.35,2352.25,2387.95,2325,2335,2331.4,2346.79,62143,145836321.2,5911,15992,25.73
VENKEYS,EQ,14-Dec-18,2331.4,2316,2351.25,2305.05,2318,2319.55,2326.96,36196,84226777.65,4287,9644,26.64
VENKEYS,EQ,17-Dec-18,2319.55,2340.95,2447,2325,2445,2422.75,2385.16,123026,293436845.8,12888,41222,33.51
VENKEYS,EQ,18-Dec-18,2422.75,2475,2582,2461,2515.15,2516.4,2531.37,531205,1344676961,55897,79278,14.92
VENKEYS,EQ,19-Dec-18,2516.4,2527,2559.65,2471,2482,2477.6,2516.91,138301,348090962.8,15171,37299,26.97
VENKEYS,EQ,20-Dec-18,2477.6,2459,2509,2436.1,2470,2477.3,2480.91,66817,165766973.2,8256,14143,21.17
VENKEYS,EQ,21-Dec-18,2477.3,2490,2499,2399,2412.25,2412.2,2453.56,61398,150643835.5,7879,20065,32.68
VENKEYS,EQ,24-Dec-18,2412.2,2416.25,2439.95,2382.8,2388.15,2389.4,2405.67,39963,96137910.65,5769,9677,24.21
VENKEYS,EQ,26-Dec-18,2389.4,2378.7,2389,2326,2358,2362.7,2354.04,55746,131228547.7,8498,11834,21.23
VENKEYS,EQ,27-Dec-18,2362.7,2384.9,2425,2373.15,2382.45,2383.7,2397.79,50386,120815174.6,6655,12257,24.33
VENKEYS,EQ,28-Dec-18,2383.7,2390,2428,2385.6,2400.25,2400.2,2408.96,43918,105796555.7,5344,11323,25.78
VENKEYS,EQ,31-Dec-18,2400.2,2415,2422,2387.1,2398,2403.5,2407.65,36363,87549351.3,3607,10827,29.77
VENKEYS,EQ,1-Jan-19,2403.5,2409,2409,2380.8,2398,2392,2389.69,20183,48231087.25,2687,5109,25.31
VENKEYS,EQ,2-Jan-19,2392,2382,2440,2375.05,2408,2407.15,2412.45,65818,158782620.1,7056,14561,22.12
VENKEYS,EQ,3-Jan-19,2407.15,2401,2420.25,2360.25,2374.4,2370.4,2387.85,33608,80250757.15,4512,8940,26.6
VENKEYS,EQ,4-Jan-19,2370.4,2377,2384.9,2335,2344.9,2338.8,2352.06,34457,81044889.75,3958,10386,30.14
VENKEYS,EQ,7-Jan-19,2338.8,2359.9,2419.95,2350,2392.6,2390.15,2396.41,70821,169716068.2,7827,16630,23.48
VENKEYS,EQ,8-Jan-19,2390.15,2399.7,2400,2364.95,2373,2373.65,2377.18,27319,64942281.55,2705,7427,27.19
VENKEYS,EQ,9-Jan-19,2373.65,2381,2399.9,2349.1,2363,2364.5,2369.34,31918,75624498.7,3919,8594,26.93
VENKEYS,EQ,10-Jan-19,2364.5,2369,2370,2333,2336.5,2337.35,2346.37,22761,53405672.8,3473,9390,41.25
