Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GODREJIND,EQ,16-Mar-18,549.3,546.5,552.7,545.1,547.2,546.7,547.92,254971,139703785.6,6786,115063,45.13
GODREJIND,EQ,19-Mar-18,546.7,547.2,549.7,534,538.55,540.95,539.73,267059,144140139.5,7770,112666,42.19
GODREJIND,EQ,20-Mar-18,540.95,540,546.85,534.55,538.7,539.7,542.65,244383,132614339.9,7735,73291,29.99
GODREJIND,EQ,21-Mar-18,539.7,540,545,522.1,523,525.55,534.46,489138,261422881.9,14818,147371,30.13
GODREJIND,EQ,22-Mar-18,525.55,521.9,535,515.45,529.2,528.35,525.72,661036,347518979.3,16840,97646,14.77
GODREJIND,EQ,23-Mar-18,528.35,512.55,534.55,512.55,531.65,532.8,525.74,330328,173665933.5,9426,47482,14.37
GODREJIND,EQ,26-Mar-18,532.8,532,540.95,527.9,539.9,539.15,532.82,344224,183409192.7,12037,124478,36.16
GODREJIND,EQ,27-Mar-18,539.15,541,551.9,538.5,547.6,546.8,545.59,190644,104013737.1,6548,57140,29.97
GODREJIND,EQ,28-Mar-18,546.8,540.1,553.35,540.1,552,549.9,549.11,286481,157309100,10444,132454,46.23
GODREJIND,EQ,2-Apr-18,549.9,552,559,548,548.55,549.8,550.53,434225,239054612.6,12932,254385,58.58
GODREJIND,EQ,3-Apr-18,549.8,550,553.05,545.2,550.1,550,549.92,365143,200800919.3,5862,222208,60.86
GODREJIND,EQ,4-Apr-18,550,551,557.9,530.75,533,534.4,550.19,1685553,927375398.1,25356,981633,58.24
GODREJIND,EQ,5-Apr-18,534.4,537,557,537,556.25,555.25,550.53,393035,216377446.4,7421,85744,21.82
GODREJIND,EQ,6-Apr-18,555.25,558,565,549.85,555,554.95,556.82,837940,466579832.5,14530,315807,37.69
GODREJIND,EQ,9-Apr-18,554.95,559.5,560,550.05,553.45,554,554.79,490895,272343470.1,15548,204483,41.66
GODREJIND,EQ,10-Apr-18,554,554.3,567.95,554.3,563.5,562.45,563.08,746616,420407278.2,13459,122952,16.47
GODREJIND,EQ,11-Apr-18,562.45,565,566.1,554,559.35,559.4,559.41,497591,278356034.6,10131,221333,44.48
GODREJIND,EQ,12-Apr-18,559.4,560.7,579.3,558.1,575.3,575.3,570.3,1541483,879101403.8,17493,884804,57.4
GODREJIND,EQ,13-Apr-18,575.3,577.6,585.65,572.7,574.9,574.95,579.84,740757,429518905.8,15463,123366,16.65
GODREJIND,EQ,16-Apr-18,574.95,571,583.9,571,582.5,582.05,576.98,261260,150742990.3,5443,82935,31.74
GODREJIND,EQ,17-Apr-18,582.05,582.05,585.9,573.55,579,577.6,582.59,646438,376605550,6675,428237,66.25
GODREJIND,EQ,18-Apr-18,577.6,583,595.15,576.4,593.5,591.2,590.47,944505,557699424.9,15767,215902,22.86
GODREJIND,EQ,19-Apr-18,591.2,595,602.8,590.2,602,599.6,598.12,1207285,722097357,20462,515352,42.69
GODREJIND,EQ,20-Apr-18,599.6,599.6,607.85,596,602,602.9,601.83,412670,248358874.1,10587,180956,43.85
GODREJIND,EQ,23-Apr-18,602.9,600.85,604.15,595.1,595.6,597.25,598.52,146781,87850804.95,3757,34138,23.26
GODREJIND,EQ,24-Apr-18,597.25,597.25,601.35,588,592.05,590.65,592.17,264353,156542565.7,7797,85345,32.28
GODREJIND,EQ,25-Apr-18,590.65,593.75,598.85,580.4,585.45,585.95,589.78,151112,89123125.95,5751,32451,21.47
GODREJIND,EQ,26-Apr-18,585.95,585.1,601.45,581.6,596.85,597.8,594.87,428403,254844955.9,7777,227906,53.2
GODREJIND,EQ,27-Apr-18,597.8,601,604.85,592.55,594.75,595.25,597.65,322583,192790550.9,10748,127423,39.5
GODREJIND,EQ,30-Apr-18,595.25,598.9,607.35,596.05,602,599.6,601.21,222437,133730449.3,6907,61888,27.82
GODREJIND,EQ,2-May-18,599.6,599,632,599,614.95,615.85,621.34,1601049,994792079.7,32271,688101,42.98
GODREJIND,EQ,3-May-18,615.85,616,616.95,595.95,601.1,600.65,608.17,485461,295241842.6,15460,218928,45.1
GODREJIND,EQ,4-May-18,600.65,605,614.05,582.25,584.9,583.85,597.74,549679,328566855.2,15208,227614,41.41
GODREJIND,EQ,7-May-18,583.85,589,596.65,584,593.5,592.7,592.04,319984,189444821.5,7488,64982,20.31
GODREJIND,EQ,8-May-18,592.7,595,605.6,587.5,597,596.4,597.43,555865,332091763.3,12310,126149,22.69
GODREJIND,EQ,9-May-18,596.4,596,599.1,585.3,591.05,590.8,592.51,136021,80594418.4,4112,32594,23.96
GODREJIND,EQ,10-May-18,590.8,595,597.4,578.1,580.1,581,582.84,268605,156553787.2,7565,107998,40.21
GODREJIND,EQ,11-May-18,581,581,595.95,569,592.85,592.9,581.11,309061,179597832.4,9064,65631,21.24
GODREJIND,EQ,14-May-18,592.9,593.95,601.35,587.05,589.9,590.75,594.91,285330,169745787.3,10393,51788,18.15
GODREJIND,EQ,15-May-18,590.75,590,599.5,576.6,582,578.65,586.71,266102,156123597.3,8737,51129,19.21
GODREJIND,EQ,16-May-18,578.65,578,589.6,574.4,580.2,581.2,583.28,301902,176093079.6,6985,24054,7.97
GODREJIND,EQ,17-May-18,581.2,581,585.45,574.6,578.7,578.05,581.42,263565,153240971.7,12082,55093,20.9
GODREJIND,EQ,18-May-18,578.05,580,583.6,563.65,565.8,565.4,570.07,274223,156325663.1,7443,134018,48.87
GODREJIND,EQ,21-May-18,565.4,566.95,572.65,557.05,561.5,560.5,562.52,326989,183938569.8,7541,87600,26.79
GODREJIND,EQ,22-May-18,560.5,564,567,554,564.45,562.4,561.8,330568,185714588,7202,100950,30.54
GODREJIND,EQ,23-May-18,562.4,563.5,565.1,551.95,556,558.4,558.67,308480,172337664.9,13478,128334,41.6
GODREJIND,EQ,24-May-18,558.4,552,557.7,524,552.5,547.95,537.55,1191534,640512226.5,25765,240030,20.14
GODREJIND,EQ,25-May-18,547.95,553.15,571,548.05,566,566.1,563.06,418322,235539988.5,8388,45636,10.91
GODREJIND,EQ,28-May-18,566.1,573.8,584.75,567.55,580.2,580.2,577.36,376939,217628474.9,9034,60573,16.07
GODREJIND,EQ,29-May-18,580.2,577,580.9,561.4,564.45,565.85,573.55,297852,170832794.8,8578,50310,16.89
GODREJIND,EQ,30-May-18,565.85,560.1,582.3,558.8,582,580.55,574.44,650203,373500258.6,14066,388925,59.82
GODREJIND,EQ,31-May-18,580.55,583,619.9,579.15,589,596.7,593.62,999744,593468634.9,20854,549510,54.97
GODREJIND,EQ,1-Jun-18,596.7,590.45,603,580.45,600,599.15,592.99,666822,395419766.5,22935,353486,53.01
GODREJIND,EQ,4-Jun-18,599.15,604.8,608.95,590.55,594.95,598.6,598.84,769252,460662396.1,16688,410108,53.31
GODREJIND,EQ,5-Jun-18,598.6,597.75,607.9,584.5,607,603.85,595.46,524504,312322451.7,9451,252732,48.18
GODREJIND,EQ,6-Jun-18,603.85,608,608,597.35,600.5,599.75,601.22,649834,390696052.5,10568,398359,61.3
GODREJIND,EQ,7-Jun-18,599.75,601.25,607.75,592.65,597.55,596.8,598.35,577685,345660688.4,10488,249058,43.11
GODREJIND,EQ,8-Jun-18,596.8,596.8,599.9,589.05,597.1,597.35,593.63,233771,138773542.3,10037,77421,33.12
GODREJIND,EQ,11-Jun-18,597.35,598.1,619,597.35,603.4,601.7,609.83,1223050,745856643.4,26675,482051,39.41
GODREJIND,EQ,12-Jun-18,601.7,606.3,610,598.45,609,608.65,604.07,280000,169139167.6,7957,69331,24.76
GODREJIND,EQ,13-Jun-18,608.65,609.8,614.85,606.95,610,609.45,610.61,404871,247218588.4,9635,170754,42.17
GODREJIND,EQ,14-Jun-18,609.45,610,613.8,600.85,609.4,609.6,607.39,287106,174385332.3,7854,117231,40.83
GODREJIND,EQ,15-Jun-18,609.6,609.65,618.85,605.3,616,616.45,612.57,424826,260236721.3,13680,225844,53.16
GODREJIND,EQ,18-Jun-18,616.45,614.95,619.4,606.2,611.55,614.3,613.62,261646,160551043.4,7446,64461,24.64
GODREJIND,EQ,19-Jun-18,614.3,612,612,591.45,596,596.85,600.04,848118,508907484.5,14624,583193,68.76
GODREJIND,EQ,20-Jun-18,596.85,596.85,601.4,592,598.75,599.95,598.63,797155,477198829.3,17407,590272,74.05
GODREJIND,EQ,21-Jun-18,599.95,600,609.5,599,607.5,606.9,606.26,506546,307100643.3,8296,229611,45.33
GODREJIND,EQ,22-Jun-18,606.9,607.4,611.85,602.5,604.6,605,606.26,423582,256800106.5,9933,187007,44.15
GODREJIND,EQ,25-Jun-18,605,605,616.8,604.6,609,607.8,610.72,386231,235877275,16525,128840,33.36
GODREJIND,EQ,26-Jun-18,607.8,607.8,610.45,597.95,606.05,608.25,602.98,378689,228342845.4,4732,217599,57.46
GODREJIND,EQ,27-Jun-18,608.25,609.5,611.35,602.2,606.8,605.2,604.85,235447,142409638.9,4729,106571,45.26
GODREJIND,EQ,28-Jun-18,605.2,605.2,605.2,591,600,594.75,597.4,935823,559058567.2,7186,760320,81.25
GODREJIND,EQ,29-Jun-18,594.75,595.55,630,595.55,627,623.7,616.58,471079,290459254.8,10653,141847,30.11
GODREJIND,EQ,2-Jul-18,623.7,628.7,633.95,612,619,617.75,623.15,595707,371213235.4,15240,73265,12.3
GODREJIND,EQ,3-Jul-18,617.75,619.9,632,614.1,619.5,617.65,623.4,812091,506257696.9,14058,204976,25.24
GODREJIND,EQ,4-Jul-18,617.65,619.7,622.2,608.25,613.5,612.05,613.54,357969,219628004,6876,142506,39.81
GODREJIND,EQ,5-Jul-18,612.05,616.65,618.55,604.05,604.9,605.7,611.13,286386,175019300.5,9450,70601,24.65
GODREJIND,EQ,6-Jul-18,605.7,602.95,610.2,587.65,589,591.75,599.07,783998,469671146.1,18217,293510,37.44
GODREJIND,EQ,9-Jul-18,591.75,592.2,597.25,585.75,595.2,594.55,591.23,416073,245995859.2,7163,96709,23.24
GODREJIND,EQ,10-Jul-18,594.55,594,612.25,591.6,609.55,609.15,605.31,516070,312380238,11300,84534,16.38
GODREJIND,EQ,11-Jul-18,609.15,607.95,614.7,598,598.5,600.25,607.36,526366,319693841.9,12685,83918,15.94
GODREJIND,EQ,12-Jul-18,600.25,600,607.8,587.65,595.45,593.35,596.2,368907,219943413.9,8205,90779,24.61
GODREJIND,EQ,13-Jul-18,593.35,595.9,599,581.05,585,584.5,586.42,267735,157006469.7,6962,67035,25.04
GODREJIND,EQ,16-Jul-18,584.5,584.1,584.5,571.05,573.4,574.85,574.91,207882,119512788.8,9797,56090,26.98
GODREJIND,EQ,17-Jul-18,574.85,571,601,565.5,596.15,596.1,589.81,743166,438323534.4,16426,365782,49.22
GODREJIND,EQ,18-Jul-18,596.1,599,604.55,593.25,596.4,598.1,597.83,428822,256361834.1,8800,154120,35.94
GODREJIND,EQ,19-Jul-18,598.1,599.05,603.9,583.95,599.95,596.3,592.61,292209,173165248.6,7764,39443,13.5
GODREJIND,EQ,20-Jul-18,596.3,593.05,600.2,589,590.3,591.85,594.42,260553,154877687.7,11695,35353,13.57
GODREJIND,EQ,23-Jul-18,591.85,598,610.9,584.4,605,605.2,595.6,484127,288343914.9,8456,239979,49.57
GODREJIND,EQ,24-Jul-18,605.2,609.3,617,601,605.05,612.25,611.47,648912,396789617.5,23265,260832,40.2
GODREJIND,EQ,25-Jul-18,612.25,608.2,624.95,602.95,606.5,608.85,616.35,644364,397155576.6,16362,140872,21.86
GODREJIND,EQ,26-Jul-18,608.85,609,618,604,616.9,611.1,612.62,578831,354604385.1,19903,237899,41.1
GODREJIND,EQ,27-Jul-18,611.1,616,650.25,612.9,637.7,637.6,633.9,905921,574263883.1,20879,235363,25.98
GODREJIND,EQ,30-Jul-18,637.6,644,648.15,631.8,641.05,642.55,643.31,861135,553973064.6,20174,313406,36.39
GODREJIND,EQ,31-Jul-18,642.55,647.3,652,636.3,651,648.65,644.84,547545,353078335.2,11796,143072,26.13
GODREJIND,EQ,1-Aug-18,648.65,654,657.6,638.8,644.65,644.65,647.5,542525,351282262.4,16352,143859,26.52
GODREJIND,EQ,2-Aug-18,644.65,643,645,628.45,631.5,632.3,636.01,409122,260206428.2,17626,104446,25.53
GODREJIND,EQ,3-Aug-18,632.3,633,643.7,619.35,626,623.55,630.49,669688,422231003.5,13753,368329,55
GODREJIND,EQ,6-Aug-18,623.55,628.2,635.95,615.75,628,629.15,629.88,589257,371163341.4,16969,266012,45.14
GODREJIND,EQ,7-Aug-18,629.15,629.55,636.45,621.05,628,629.3,630.18,447563,282043716.3,9261,128055,28.61
