,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend,14 Day MA,14 Day STD,Upper Band,Lower Band,Call
0,HINDUNILVR,EQ,15-May-2017,980.2,981.3,988.85,974.55,982.5,983.25,980.72,734446,720288795.6,32976,420159,57.21,5,2017,0.0,Slight or No change,0.0,0.0,0.0,0.0,Short
1,HINDUNILVR,EQ,16-May-2017,983.25,983.0,1002.5,982.05,999.5,1000.4,994.0,1503815,1494797745.55,39717,669576,44.53,5,2017,1.7442156114924945,positive,0.0,0.0,0.0,0.0,Short
2,HINDUNILVR,EQ,17-May-2017,1000.4,1004.0,1012.0,991.1,1009.0,1009.4,1003.84,1999387,2007056012.15,63210,996054,49.82,5,2017,0.8996401439424151,Slight positive,0.0,0.0,0.0,0.0,Short
3,HINDUNILVR,EQ,18-May-2017,1009.4,1008.0,1009.0,983.0,987.5,990.25,997.56,2690943,2684373562.15,78098,983594,36.55,5,2017,-1.8971666336437432,Other,0.0,0.0,0.0,0.0,Short
4,HINDUNILVR,EQ,19-May-2017,990.25,1000.0,1022.75,1000.0,1004.1,1008.0,1009.97,3059815,3090315667.8,57429,1523108,49.78,5,2017,1.7924766473112808,positive,0.0,0.0,0.0,0.0,Short
5,HINDUNILVR,EQ,22-May-2017,1008.0,1011.35,1028.2,1009.0,1019.8,1018.6,1019.74,1788720,1824025966.1,51057,808117,45.18,5,2017,1.0515873015872979,positive,0.0,0.0,0.0,0.0,Short
6,HINDUNILVR,EQ,23-May-2017,1018.6,1018.8,1032.0,1014.0,1023.5,1024.8,1027.17,2640069,2711793462.6,72246,1946513,73.73,5,2017,0.6086785784409798,Slight positive,0.0,0.0,0.0,0.0,Short
7,HINDUNILVR,EQ,24-May-2017,1024.8,1026.55,1040.0,1023.5,1038.05,1038.05,1032.11,1992083,2056056556.8,42418,1341093,67.32,5,2017,1.2929352068696387,positive,0.0,0.0,0.0,0.0,Short
8,HINDUNILVR,EQ,25-May-2017,1038.05,1037.9,1050.0,1030.3,1045.0,1043.45,1041.56,1918721,1998462723.45,67399,1255478,65.43,5,2017,0.5202061557728621,Slight positive,0.0,0.0,0.0,0.0,Short
9,HINDUNILVR,EQ,26-May-2017,1043.45,1042.05,1046.95,1032.4,1041.0,1040.95,1040.43,716421,745383722.55,26030,367491,51.3,5,2017,-0.2395898222243509,Slight or No change,0.0,0.0,0.0,0.0,Short
10,HINDUNILVR,EQ,29-May-2017,1040.95,1041.0,1077.0,1038.75,1073.0,1072.25,1065.77,1771026,1887507529.8,63186,1112200,62.8,5,2017,3.0068687256832765,among top gainers,0.0,0.0,0.0,0.0,Short
11,HINDUNILVR,EQ,30-May-2017,1072.25,1071.1,1074.95,1053.3,1070.5,1072.6,1063.43,890684,947182049.85,19918,588068,66.02,5,2017,0.032641641408237554,Slight or No change,0.0,0.0,0.0,0.0,Short
12,HINDUNILVR,EQ,31-May-2017,1072.6,1065.8,1074.45,1061.05,1070.0,1067.0,1067.74,2226704,2377542164.05,72236,1834087,82.37,5,2017,-0.522095841879533,Other,1028.3846153846157,30.287032322812273,1088.95868003024,967.810550738991,Hold Short/Liquidate Buy
